127.0.0.1, 2016-04-13 14:35:08, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000558
127.0.0.1, 2016-04-13 14:35:08, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000822
127.0.0.1, 2016-04-13 14:35:08, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000596
127.0.0.1, 2016-04-13 14:35:08, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000807
127.0.0.1, 2016-04-13 14:35:08, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001449
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/default/index, HTTP/1.1, 303, 0.074518
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/default/site, HTTP/1.1, 200, 0.051773
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/static/_2.14.4/js/jquery.js, HTTP/1.1, 200, 0.000857
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/static/_2.14.4/js/calendar.js, HTTP/1.1, 200, 0.001315
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/static/_2.14.4/js/web2py.js, HTTP/1.1, 200, 0.001935
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/static/_2.14.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001202
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/static/_2.14.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003183
127.0.0.1, 2016-04-13 14:35:10, GET, /admin/static/_2.14.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002853
127.0.0.1, 2016-04-13 14:35:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2016-04-13 14:35:22, POST, /admin/default/site, HTTP/1.1, 303, 0.242294
127.0.0.1, 2016-04-13 14:35:22, GET, /admin/default/design/Visualizr, HTTP/1.1, 200, 0.150290
127.0.0.1, 2016-04-13 14:35:22, GET, /admin/static/_2.14.4/images/search.png, HTTP/1.1, 200, 0.000732
127.0.0.1, 2016-04-13 14:35:22, GET, /admin/static/_2.14.4/images/help.png, HTTP/1.1, 200, 0.001243
127.0.0.1, 2016-04-13 14:35:22, GET, /admin/static/_2.14.4/images/delete_icon.png, HTTP/1.1, 200, 0.001289
127.0.0.1, 2016-04-13 14:35:22, GET, /admin/static/_2.14.4/images/test_icon.png, HTTP/1.1, 200, 0.000639
127.0.0.1, 2016-04-13 14:35:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2016-04-13 14:35:26, GET, /admin/default/site, HTTP/1.1, 200, 0.040001
127.0.0.1, 2016-04-13 14:35:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2016-04-13 14:37:30, GET, /, HTTP/1.1, 303, 0.002047
127.0.0.1, 2016-04-13 14:37:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.243328
